% Sandstone 34 C degree
% Time(days)  H2  CO2  CH4  H2S  SO4  FeS  Biomass  Acetate (mmol/L)  
  5.759306    0.0425873   0.00803778      2.22297  3.23328e-06 -0.000386593     0.111383     0.126893    0.0144956
  5.931806    0.0403559   0.00748011      2.22353  3.13294e-06 -0.000386806     0.111384     0.126921    0.0144957
  6.104306     0.038378   0.00698581      2.22402  2.80467e-06 -0.000387008     0.111384     0.126945    0.0144957
  6.276806    0.0366115   0.00654437      2.22446  2.59657e-06 -0.000387201     0.111385     0.126967    0.0144957
  6.449306    0.0350258   0.00614811      2.22486  2.50093e-06 -0.000387385     0.111385     0.126987    0.0144957
  6.621806    0.0335955   0.00579069      2.22522  2.42152e-06 -0.000387561     0.111385     0.127005    0.0144957
  6.691355    0.0330579   0.00565635      2.22535  2.37415e-06  -0.00038763     0.111385     0.127012    0.0144957
  6.760903    0.0325407   0.00552712      2.22548  2.33267e-06 -0.000387698     0.111385     0.127018    0.0144957
  6.830452    0.0320429   0.00540274      2.22561   2.2963e-06 -0.000387765     0.111385     0.127024    0.0144958
  6.900000    0.0315634   0.00528293      2.22573  2.26428e-06 -0.000387831     0.111386      0.12703    0.0144958
