Time,nH2_g,nCO2_g,nCH4_g,nH2S_g,H2_aq,CO2_aq,SO4,FeS,X,Acetate,HCO3,S_tot,Lag,Fe_pool,H2S_aq,HS_aq,r_meth,r_sulf,r_precip,r_aceto
2.8937876,8.8817456,2.392923,0.0052285734,0.016528441,0.67717029,14.083921,6.1301076,0.01,1.5253984,2.4730026,0,0.48735498,0.96275997,0.1,0.27271695,0.21463803,0.61352978,0.91020867,0,4.3302003
2.9318637,8.8684777,2.3880314,0.0055882876,0.016885649,0.64745265,14.047908,6.1071162,0.01,1.6289324,2.642071,0,0.49905398,0.96472974,0.1,0.27898701,0.22006696,0.64615201,0.95511976,0,4.5503815
2.9699399,8.8545322,2.382892,0.005966701,0.017260628,0.61758754,14.010417,6.0824306,0.01,1.7375853,2.8195175,0,0.51127237,0.96660055,0.1,0.28553411,0.22573826,0.67897424,0.99966258,0,4.7699981
3.008016,8.8399103,2.3775054,0.0063638657,0.017653241,0.5877821,13.971504,6.0560726,0.01,1.8513225,3.0052887,0,0.52399838,0.96837696,0.1,0.2923508,0.23164758,0.71177662,1.0434685,0,4.9873647
3.0460922,8.8246183,2.3718742,0.0067797054,0.018063203,0.5582519,13.931237,6.0280779,0.01,1.9700696,3.1992665,0,0.53721586,0.97006336,0.1,0.29942723,0.23778863,0.74433199,1.0861668,0,5.2007699
3.0841683,8.8086678,2.366003,0.0072140146,0.018490082,0.52921319,13.889696,5.9984962,0.01,2.0937125,3.4012678,0,0.55090449,0.97166397,0.1,0.30675127,0.24415323,0.77641476,1.1273994,0,5.4085434
3.1222445,8.7920752,2.359898,0.0076664611,0.018933304,0.50087419,13.846969,5.9673906,0.01,2.2220994,3.6110482,0,0.56504035,0.97318284,0.1,0.31430881,0.25073154,0.80781048,1.1668364,0,5.6091267
3.1603206,8.7748621,2.3535674,0.0081365961,0.019392164,0.47342627,13.803151,5.9348354,0.01,2.3550441,3.8283069,0,0.57959651,0.97462385,0.1,0.32208415,0.25751236,0.83832517,1.2041895,0,5.8011406
3.1983968,8.757054,2.3470207,0.0086238676,0.019865837,0.44703596,13.758336,5.9009155,0.01,2.4923308,4.052695,0,0.59454387,0.97599071,0.1,0.33006042,0.26448345,0.86779342,1.2392247,0,5.9834414
3.2364729,8.7386803,2.3402688,0.0091276387,0.020353405,0.42183867,13.71262,5.865723,0.01,2.6337204,4.2838253,0,0.60985193,0.97728699,0.1,0.33822006,0.27163187,0.89608424,1.2717686,0,6.1551587
